value,count
0.07852092,87
0.07852092,94
0.07852092,65
0.07852092,140
0.07862234,65
0.07862234,65
0.079001255,56
0.079001255,82
0.079001255,52
0.079001255,82
0.079024605,59
0.079024605,97
0.079024605,66
0.079024605,97
0.079049364,91
0.079049364,147
0.079049364,65
0.079049364,107
0.079049364,147
0.07914817,68
0.07914817,66
0.07914817,91
0.07914817,91
0.07924243,72
0.07924243,141
0.07924243,141
0.07924243,86
0.07924243,104
0.07928876,50
0.07928876,50
0.07937146,70
0.07937146,50
0.07937146,70
0.07941225,95
0.07941225,53
0.07941225,69
0.07941225,56
0.07941225,95
0.079415664,175
0.079415664,250
0.079415664,145
0.079415664,250
0.079415664,120
0.07961401,52
0.07961401,52
0.07964941,188
0.07964941,120
0.07964941,141
0.07964941,86
0.07964941,188
0.0799225,112
0.0799225,112
0.0799225,73
0.0799225,54
0.0799225,81
0.07997202,55
0.07997202,55
0.08017244,89
0.08017244,89
0.08017244,55
0.08017244,64
0.08036381,73
0.08036381,60
0.08036381,73
0.08039132,64
0.08039132,64
0.08050548,162
0.08050548,106
0.08050548,113
0.08050548,72
0.08050548,162
0.08060341,61
0.08060341,61
0.08067578,61
0.08067578,68
0.08067578,86
0.08067578,86
0.08073195,56
0.08073195,56
0.08083441,81
0.08083441,53
0.08083441,63
0.08083441,81
0.08084246,52
0.08084246,52
0.08086536,60
0.08086536,60
0.080929324,72
0.080929324,72
0.08093933,145
0.08093933,145
0.08093933,89
0.08093933,96
0.08093933,71
0.08118601,50
0.08118601,50
0.08118912,51
0.08118912,51
0.08119139,53
0.08119139,66
0.08119139,66
0.081370495,68
0.081370495,68
0.081428416,71
0.081428416,62
0.081428416,89
0.081428416,89
0.08147233,63
0.08147233,63
0.081480235,69
0.081480235,114
0.081480235,114
0.081480235,57
0.081480235,81
0.08155377,66
0.08155377,66
0.08155399,51
0.08155399,110
0.08155399,110
0.08155399,68
0.08155399,83
0.081575856,51
0.081575856,51
0.08160489,70
0.08160489,80
0.08160489,51
0.08160489,117
0.08160489,117
0.081723176,65
0.081723176,57
0.081723176,86
0.081723176,86
0.0818576,80
0.0818576,80
0.0818576,58
0.08202942,85
0.08202942,199
0.08202942,199
0.08202942,131
0.08202942,136
0.082035005,102
0.082035005,155
0.082035005,93
0.082035005,155
0.082035005,63
0.082060315,114
0.082060315,69
0.082060315,114
0.082060315,72
0.08222523,50
0.08222523,67
0.08222523,67
0.08230656,52
0.08230656,52
0.08241206,74
0.08241206,74
0.08241206,56
0.08241206,56
0.08252938,51
0.08252938,51
0.08272252,52
0.08272252,112
0.08272252,112
0.08272252,75
0.08272252,86
0.08289595,53
0.08289595,109
0.08289595,109
0.08289595,71
0.08289595,83
0.082904205,52
0.082904205,52
0.08295815,54
0.08295815,54
0.083010346,94
0.083010346,141
0.083010346,68
0.083010346,102
0.083010346,141
0.083153345,98
0.083153345,153
0.083153345,95
0.083153345,153
0.083153345,72
0.083212115,56
0.083212115,56
0.08325699,240
0.08325699,277
0.08325699,167
0.08325699,389
0.08325699,389
0.083346635,51
0.083346635,64
0.083346635,64
0.08345357,52
0.08345357,62
0.08345357,62
0.083458215,51
0.083458215,51
0.083521046,59
0.083521046,73
0.083521046,54
0.083521046,73
0.08376328,98
0.08376328,98
0.08376328,58
0.08376328,58
0.083846845,89
0.083846845,121
0.083846845,81
0.083846845,121
0.0838622,166
0.0838622,166
0.0838622,107
0.0838622,70
0.0838622,126
0.0839868,67
0.0839868,106
0.0839868,141
0.0839868,141
0.0839868,89
0.08400289,110
0.08400289,86
0.08400289,166
0.08400289,166
0.08400289,89
0.08436836,64
0.08436836,50
0.08436836,64
0.08477077,63
0.08477077,50
0.08477077,101
0.08477077,101
0.08477077,67
0.08486737,118
0.08486737,67
0.08486737,157
0.08486737,157
0.08486737,103
0.084990144,170
0.084990144,236
0.084990144,145
0.084990144,236
0.084990144,112
0.085085236,70
0.085085236,96
0.085085236,58
0.085085236,96
0.085094735,63
0.085094735,63
0.08521756,62
0.08521756,62
0.08543391,51
0.08543391,71
0.08543391,71
0.08544112,91
0.08544112,106
0.08544112,67
0.08544112,162
0.08544112,162
0.08568259,65
0.08568259,65
0.085846186,92
0.085846186,131
0.085846186,82
0.085846186,131
0.085846186,69
0.08601678,51
0.08601678,51
0.086281195,70
0.086281195,67
0.086281195,105
0.086281195,105
0.08628158,209
0.08628158,229
0.08628158,148
0.08628158,335
0.08628158,335
0.08631099,54
0.08631099,77
0.08631099,77
0.0863188,82
0.0863188,82
0.0863188,52
0.08632702,50
0.08632702,50
0.086393975,68
0.086393975,115
0.086393975,115
0.086393975,71
0.0863983,143
0.0863983,143
0.0863983,83
0.0863983,67
0.0863983,101
0.08646203,67
0.08646203,67
0.08654086,62
0.08654086,62
0.086652234,59
0.086652234,59
0.08668037,85
0.08668037,52
0.08668037,113
0.08668037,113
0.08668037,66
0.086689204,64
