city,tag,value,cnt
北京市,app_name,金太阳手机炒股,41
北京市,app_name,分期乐,41
北京市,app_name,百词斩,41
北京市,app_name,阿里巴巴,41
北京市,app_name,掌上英雄联盟,40
北京市,app_name,小米商城,40
北京市,app_name,天天爱消除,40
北京市,app_name,球球大作战,40
北京市,app_name,企业微信,40
北京市,app_name,欢乐斗地主,40
北京市,app_name,风行视频,40
北京市,app_name,嘀嗒拼车,40
北京市,app_name,被窝音乐,40
北京市,app_name,熊猫直播,39
北京市,app_name,电信营业厅,39
北京市,app_name,部落冲突,39
北京市,app_name,宝宝生日派对,39
北京市,app_name,一起作业学生,38
北京市,app_name,淘票票,38
北京市,app_name,互动作业,38
北京市,app_name,触宝电话,38
北京市,app_name,百度翻译,38
北京市,app_name,TapTap,38
北京市,app_name,前程无忧51Job,37
北京市,app_name,百度手机卫士,37
北京市,app_name,百度视频,37
北京市,app_name,同花顺,36
北京市,app_name,腾讯动漫,36
北京市,app_name,美柚,36
北京市,app_name,每日优鲜,36
北京市,app_name,街头拳击,36
北京市,app_name,阴阳师,35
北京市,app_name,旅行青蛙,35
北京市,app_name,潮自拍,35
北京市,app_name,暴风影音,35
北京市,app_name,安居客,35
北京市,app_name,最美天气,34
北京市,app_name,有道翻译官,34
北京市,app_name,央视影音,34
北京市,app_name,相册管家,34
北京市,app_name,土豆,34
北京市,app_name,酷米客,34
北京市,app_name,华为商城,34
北京市,app_name,韩剧TV,34
北京市,app_name,QQ安全中心,34
北京市,app_name,最右,33
北京市,app_name,优步Uber,33
北京市,app_name,人人视频,33
北京市,app_name,汽车报价大全,33
北京市,app_name,AcFun,33
北京市,app_name,米聊,32
北京市,app_name,咪咕视频,32
北京市,app_name,海滨消消乐,32
北京市,app_name,钢琴块2,32
北京市,app_name,KingRoot,32
北京市,app_name,万能遥控,31
北京市,app_name,人人美剧,31
北京市,app_name,地铁跑酷,31
北京市,app_name,贝贝,31
北京市,app_name,北京实时公交,31
北京市,app_name,脉脉,30
北京市,app_name,聚力视频,30
北京市,app_name,节奏大师,30
北京市,app_name,Zombie Frontier 僵尸前线,30
北京市,app_name,WPS,30
北京市,app_name,QQ飞车,30
北京市,app_name,搜狗浏览器,29
北京市,app_name,懒人听书,29
北京市,app_name,自如,28
北京市,app_name,追书神器,28
北京市,app_name,中国银行,28
北京市,app_name,学车不,28
北京市,app_name,魔秀桌面,28
北京市,app_name,僵尸前线,28
北京市,app_name,荒野行动,28
北京市,app_name,花椒直播,28
北京市,app_name,海通e海通财,28
北京市,app_name,二手交易,28
北京市,app_name,车到哪,28
北京市,app_name,LBE安全大师,28
北京市,app_name,折800,27
北京市,app_name,平安好医生,27
北京市,app_name,华为文件管理器,27
北京市,app_name,翼支付钱包,26
北京市,app_name,小猿搜题,26
北京市,app_name,手机电视,26
北京市,app_name,链家,26
北京市,app_name,荔枝FM,26
北京市,app_name,16WiFi,26
北京市,app_name,下厨房,25
北京市,app_name,万年历,25
北京市,app_name,千牛,25
北京市,app_name,企鹅FM,25
北京市,app_name,交管12123,25
北京市,app_name,北京地铁,25
北京市,app_name,中华万年历日历,24
北京市,app_name,宜搜小说,24
北京市,app_name,超级课程表,24
北京市,app_name,百度钱包,24
北京市,app_name,百度浏览器,24
北京市,app_name,Google Play 商店,24
北京市,app_name,掌上公交,23
北京市,app_name,我查查,23
北京市,app_name,搜狗搜索,23
北京市,app_name,生鲜电商,23
北京市,app_name,酷骑单车,23
北京市,app_name,豆瓣,23
北京市,app_name,畅读,23
北京市,app_name,北京银行,23
北京市,app_name,PP助手,23
北京市,app_name,搜狗阅读,22
北京市,app_name,企鹅电竞,22
北京市,app_name,炉石传说,22
北京市,app_name,交通银行,22
北京市,app_name,多看阅读,22
北京市,app_name,百度文库,22
北京市,app_name,IN,22
北京市,app_name,无他相机,21
北京市,app_name,双开助手,21
北京市,app_name,酷划锁屏,21
北京市,app_name,口碑,21
北京市,app_name,皇室战争,21
北京市,app_name,116114,21
北京市,app_name,中医通,20
北京市,app_name,新平安口袋银行,20
北京市,app_name,三星应用商店,20
北京市,app_name,百度阅读,20
北京市,app_name,TIM,20
北京市,app_name,Chrome,20
北京市,app_name,1号店,20
北京市,app_name,植物大战僵尸2高清版,19
北京市,app_name,同桌游戏,19
北京市,app_name,猫眼,19
北京市,app_name,狼人杀,19
北京市,app_name,拉勾,19
北京市,app_name,好豆菜谱,19
北京市,app_name,分身大师,19
北京市,app_name,导购分享,19
北京市,app_name,51信用卡管家,19
北京市,app_name,51万年历,19
北京市,app_name,微锁屏,18
北京市,app_name,天天酷跑,18
北京市,app_name,魂斗罗：归来,18
北京市,app_name,华为云服务,18
北京市,app_name,大麦,18
北京市,app_name,楚楚街,18
北京市,app_name,PicsArt,18
北京市,app_name,掌上穿越火线,17
北京市,app_name,邮储银行,17
北京市,app_name,讯飞语记,17
北京市,app_name,搜狗手机助手,17
北京市,app_name,手机百度极速版,17
北京市,app_name,奇迹暖暖,17
北京市,app_name,马蜂窝旅游,17
北京市,app_name,黄油相机,17
北京市,app_name,国美在线,17
北京市,app_name,大姨吗,17
北京市,app_name,云图手机电视,16
北京市,app_name,永安行,16
北京市,app_name,经典2048,16
北京市,app_name,金山电池医生,16
北京市,app_name,华住酒店,16
北京市,app_name,动漫之家,16
北京市,app_name,东方头条,16
北京市,app_name,英语流利说,15
北京市,app_name,易车,15
北京市,app_name,旺信,15
北京市,app_name,随手记,15
北京市,app_name,水印相机,15
北京市,app_name,平安金管家,15
北京市,app_name,龙珠直播,15
北京市,app_name,快看浏览器,15
北京市,app_name,九游游戏中心,15
北京市,app_name,净化大师,15
北京市,app_name,驾校一点通,15
北京市,app_name,火影忍者,15
北京市,app_name,高德导航,15
北京市,app_name,返利网,15
北京市,app_name,触宝号码助手,15
北京市,app_name,Angry Gran Racing,15
北京市,app_name,装B神器,14
北京市,app_name,小恩爱,14
北京市,app_name,网易考拉海购,14
北京市,app_name,玩图,14
北京市,app_name,跳舞的线,14
北京市,app_name,腾讯体育,14
北京市,app_name,锁屏秀秀,14
北京市,app_name,神州租车,14
北京市,app_name,扫描全能王,14
北京市,app_name,糗事百科,14
北京市,app_name,免费小说大全,14
北京市,app_name,迷你世界,14
北京市,app_name,梦想城镇,14
北京市,app_name,美团众包,14
北京市,app_name,鲁大师,14
北京市,app_name,乐看搜索,14
北京市,app_name,虎扑体育,14
北京市,app_name,葫芦侠,14
北京市,app_name,河南移动掌上营业厅,14
北京市,app_name,好看视频,14
北京市,app_name,粉粉日记,14
北京市,app_name,懂车帝,14
北京市,app_name,垂直电商,14
北京市,app_name,百度音乐,14
北京市,app_name,Instagram,14
北京市,app_name,B612（国际版）,14
北京市,app_name,一淘,13
北京市,app_name,阳光惠生活,13
北京市,app_name,亚马逊购物,13
北京市,app_name,星巴克,13
北京市,app_name,微爱,13
北京市,app_name,豌豆荚,13
北京市,app_name,天天中彩票,13
北京市,app_name,天天看,13
北京市,app_name,闪送员,13
北京市,app_name,闪电降价,13
北京市,app_name,民生银行手机银行,13
北京市,app_name,蚂蜂窝自由行,13
北京市,app_name,乐视体育,13
北京市,app_name,看漫画,13
北京市,app_name,京东钱包,13
北京市,app_name,海岛奇兵,13
北京市,app_name,瓜子二手车,13
北京市,app_name,凤凰视频,13
北京市,app_name,导学号,13
北京市,app_name,宝宝树孕育,13
北京市,app_name,百思不得姐,13
北京市,app_name,爱豆IDOL,13
北京市,app_name,WiFi钥匙,13
北京市,app_name,PP视频,13
北京市,app_name,MIX滤镜大师,13
北京市,app_name,Blued,13
北京市,app_name,91黄历天气,13
北京市,app_name,4399游戏盒,13
北京市,app_name,2345天气王,13
北京市,app_name,作业通,12
北京市,app_name,有道云笔记,12
北京市,app_name,易到,12
北京市,app_name,学习通,12
北京市,app_name,小伴龙,12
北京市,app_name,香哈菜谱,12
北京市,app_name,微店,12
北京市,app_name,微博国际版,12
北京市,app_name,网商银行,12
北京市,app_name,途牛旅游,12
北京市,app_name,同程旅游,12
北京市,app_name,天天斗地主（真人版）,12
北京市,app_name,淘新闻,12
北京市,app_name,扇贝单词,12
北京市,app_name,梦幻花园,12
北京市,app_name,恋与制作人,12
北京市,app_name,家长通,12
北京市,app_name,货拉拉,12
北京市,app_name,华为游戏中心,12
北京市,app_name,房天下,12
北京市,app_name,儿歌点点,12
北京市,app_name,爱奇艺头条,12
北京市,app_name,WiFi万能密码,12
北京市,app_name,Twitter,12
北京市,app_name,NOW直播,12
北京市,app_name,58速运,12
北京市,app_name,10086（原4G管家）,12
北京市,app_name,中信银行手机银行,11
北京市,app_name,掌阅iReader,11
北京市,app_name,元贝驾考,11
北京市,app_name,萤石云视频,11
北京市,app_name,英雄难过棍子关,11
北京市,app_name,我的世界（国际）,11
北京市,app_name,天天象棋,11
北京市,app_name,首旅如家,11
北京市,app_name,平安好车主,11
北京市,app_name,欧朋浏览器,11
北京市,app_name,拇指玩,11
北京市,app_name,咪咕阅读,11
北京市,app_name,魅族游戏中心,11
北京市,app_name,美团外卖商家版,11
北京市,app_name,猎聘同道,11
北京市,app_name,快递100,11
北京市,app_name,可可英语,11
北京市,app_name,科目四驾照考试,11
北京市,app_name,京东到家,11
北京市,app_name,弓箭手大作战,11
北京市,app_name,高铁管家,11
北京市,app_name,多说英语,11
北京市,app_name,豆果美食,11
北京市,app_name,叮当快药,11
北京市,app_name,触手直播,11
北京市,app_name,宝宝巴士,11
北京市,app_name,OPPO指南针,11
北京市,app_name,JJ比赛,11
北京市,app_name,Firefox 火狐浏览器,11
北京市,app_name,360免费WiFi,11
北京市,app_name,浙江移动手机营业厅,10
北京市,app_name,阅读王,10
北京市,app_name,印象笔记,10
北京市,app_name,易用汇,10
北京市,app_name,学霸君,10
北京市,app_name,兴趣部落,10
北京市,app_name,小影,10
北京市,app_name,小米生活,10
北京市,app_name,我的汤姆猫,10
北京市,app_name,我的世界,10
北京市,app_name,微桌面,10
北京市,app_name,往返,10
北京市,app_name,铁友火车票12306抢票,10
北京市,app_name,随手电筒,10
北京市,app_name,顺丰速运,10
北京市,app_name,手电筒,10
北京市,app_name,省钱快报,10
北京市,app_name,神庙逃亡2,10
北京市,app_name,什么值得买,10
北京市,app_name,全国违章查询,10
北京市,app_name,全本免费阅读器,10
北京市,app_name,平安口袋银行,10
北京市,app_name,录屏大师,10
北京市,app_name,乐视商城,10
北京市,app_name,蓝墨云班课,10
北京市,app_name,快视频,10
北京市,app_name,跨境电商,10
北京市,app_name,惠头条,10
北京市,app_name,惠锁屏,10
北京市,app_name,华为穿戴,10
北京市,app_name,花粉俱乐部,10
北京市,app_name,滚动的天空,10
北京市,app_name,飞行棋,10
北京市,app_name,儿歌多多,10
北京市,app_name,动卡空间,10
北京市,app_name,懂球帝,10
北京市,app_name,得到,10
北京市,app_name,超级女明星,10
北京市,app_name,宝宝超市,10
北京市,app_name,TXT免费全本电子书,10
北京市,app_name,Tumblr,10
北京市,app_name,Google Maps,10
北京市,app_name,360智能摄像机,10
北京市,app_name,作业盒子小学学生端,9
北京市,app_name,掌上电力,9
北京市,app_name,有信,9
北京市,app_name,艺龙旅行,9
北京市,app_name,洋葱数学,9
北京市,app_name,我的安吉拉,9
北京市,app_name,体检宝测血压视力心率,9
北京市,app_name,搜狗地图,9
北京市,app_name,水果连连看经典,9
北京市,app_name,首汽约车,9
北京市,app_name,手机电视高清直播,9
北京市,app_name,世纪佳缘,9
北京市,app_name,魔秀壁纸,9
北京市,app_name,咪咕音乐,9
北京市,app_name,乐教乐学,9
北京市,app_name,快牙,9
北京市,app_name,快手小游戏,9
北京市,app_name,兼职猫,9
北京市,app_name,欢乐狼人杀,9
北京市,app_name,沪江开心词场,9
北京市,app_name,盒马,9
北京市,app_name,航旅纵横,9
北京市,app_name,国泰君安君弘,9
北京市,app_name,咕咚,9
北京市,app_name,斗米兼职,9
北京市,app_name,电视红包,9
北京市,app_name,崩坏3,9
北京市,app_name,保卫萝卜3,9
北京市,app_name,安卓壁纸,9
北京市,app_name,爱吾游戏宝盒,9
北京市,app_name,QQ飞车手游,9
北京市,app_name,DNF助手,9
北京市,app_name,中华万年历,8
北京市,app_name,知米背单词,8
北京市,app_name,掌通家园,8
北京市,app_name,掌上道聚城,8
北京市,app_name,有品·PICOOC,8
北京市,app_name,优惠比价,8
北京市,app_name,银联钱包,8
北京市,app_name,一起来飞车,8
北京市,app_name,一键锁屏,8
北京市,app_name,心悦俱乐部,8
北京市,app_name,小天才电话手表,8
北京市,app_name,小米WiFi,8
北京市,app_name,西瓜播放器,8
北京市,app_name,我在大清当皇帝,8
北京市,app_name,网易漫画,8
北京市,app_name,腾讯桌球,8
北京市,app_name,时光相册,8
北京市,app_name,闪送,8
北京市,app_name,全民直播,8
北京市,app_name,钱盾,8
北京市,app_name,汽车报价,8
北京市,app_name,浦发信用卡,8
北京市,app_name,浦发手机银行,8
北京市,app_name,免费电子书,8
北京市,app_name,蚂蚁财富,8
北京市,app_name,驴妈妈旅游,8
北京市,app_name,课程格子,8
北京市,app_name,军棋,8
北京市,app_name,纪念碑谷,8
北京市,app_name,即刻,8
北京市,app_name,护眼宝,8
